level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
4	1	6	1	9	0	204	901	668	40	-1	
5	1	6	1	9	1	204	915	130	26	89.398331	POWERADE
5	1	6	1	9	2	354	912	98	26	96.510574	LIMONE
5	1	6	1	9	3	708	906	29	22	51.943283	«d
5	1	6	1	9	4	808	901	64	39	85.091850	0,89
4	1	6	1	10	0	202	942	670	36	-1	
5	1	6	1	10	1	202	958	81	20	90.698593	OLIVA
5	1	6	1	10	2	303	952	98	25	92.738510	FBERIO
5	1	6	1	10	3	420	952	30	21	95.641457	LT
5	1	6	1	10	4	471	951	65	23	96.508896	0,75
5	1	6	1	10	5	708	951	30	17	56.921783	“a
5	1	6	1	10	6	809	942	63	24	95.684517	4,99
4	1	6	1	11	0	200	981	671	37	-1	
5	1	6	1	11	1	200	995	64	23	92.138100	FUZE
5	1	6	1	11	2	287	991	163	25	92.138100	THE'LIMONE
5	1	6	1	11	3	471	991	31	22	96.087234	40
5	1	6	1	11	4	522	990	29	23	96.592995	CL
5	1	6	1	11	5	709	986	29	22	74.787140	«ad
5	1	6	1	11	6	809	981	62	25	68.990135	0.74
4	1	6	1	12	0	198	1020	674	35	-1	
5	1	6	1	12	1	198	1033	100	22	93.295837	MISURA
5	1	6	1	12	2	318	1031	131	22	92.500671	PRIVOLAT
5	1	6	1	12	3	470	1030	82	23	96.847321	GOCCE
5	1	6	1	12	4	709	1030	30	16	48.989887	*c
5	1	6	1	12	5	793	1020	79	26	55.464188	72,39
4	1	6	1	13	0	232	1061	674	52	-1	
5	1	6	1	13	1	232	1071	98	23	81.110611	SCINTO
5	1	6	1	13	2	351	1070	99	24	92.865044	FIDATY
5	1	6	1	13	3	470	1070	47	22	95.819572	20%
5	1	6	1	13	4	756	1070	23	43	57.954464	7
5	1	6	1	13	5	810	1061	24	25	90.563240	0,
5	1	6	1	13	6	844	1064	62	26	78.292480	48-S
4	1	6	1	14	0	195	1101	678	31	-1	
5	1	6	1	14	1	195	1111	100	21	93.303246	ULTIMA
5	1	6	1	14	2	316	1110	64	22	92.493073	STER
5	1	6	1	14	3	401	1110	46	20	89.756355	POL
5	1	6	1	14	4	470	1108	64	21	85.803879	440G
5	1	6	1	14	5	710	1101	45	23	85.637291	«d/
5	1	6	1	14	6	810	1103	63	25	90.129608	2,99
4	1	6	1	15	0	194	1144	681	28	-1	
5	1	6	1	15	1	194	1150	100	22	93.293846	MISURA
5	1	6	1	15	2	314	1147	133	24	92.904922	PRIVOLAT
5	1	6	1	15	3	468	1146	82	22	96.320732	GOCCE
5	1	6	1	15	4	710	1144	29	18	39.975338	xc
5	1	6	1	15	5	810	1144	65	24	71.555115	2,39
4	1	6	1	16	0	226	1183	685	27	-1	
5	1	6	1	16	1	226	1188	100	22	93.250786	SCONTO
5	1	6	1	16	2	347	1185	100	23	92.633270	FIDATY
5	1	6	1	16	3	467	1184	48	22	96.989899	20%
5	1	6	1	16	4	812	1183	25	24	93.034439	0,
5	1	6	1	16	5	850	1184	61	22	86.963120	48-S
4	1	6	1	17	0	189	1223	689	26	-1	
